2017-18 Rank,Rank in the most recent five years,School Name,City,2017-18 Rating,Rating in the most recent five years
832/852,646/664,Parkdale,Wetaskiwin,1.8,3
832/852,n/a,Al-Mustafa,Edmonton,1.8,n/a
835/852,n/a,Lauderdale,Edmonton,1.6,n/a
836/852,653/664,Ashmont,Ashmont,1.5,2.6
836/852,655/664,St. Stephens,Valleyview,1.5,2.5
836/852,664/664,Abbott,Edmonton,1.5,1.2
836/852,n/a,Ivor Dent,Edmonton,1.5,n/a
840/852,n/a,Penson,Grovedale,1.4,n/a
841/852,634/664,Vista Heights,Calgary,1.3,3.6
842/852,658/664,John Barnett,Edmonton,1.1,2.3
843/852,662/664,Elizabeth Community,Cold Lake,0.9,1.4
843/852,n/a,Lloyd Garrison,Berwyn,0.9,n/a
845/852,n/a,John Davidson,Coaldale,0.6,n/a
846/852,659/664,Delton,Edmonton,0.4,1.8
847/852,n/a,Exshaw,Exshaw,0,n/a
847/852,n/a,Gift Lake,Gift Lake,0,n/a
847/852,n/a,Heinsburg,Heinsburg,0,n/a
847/852,n/a,Mamawi Atosketan,Ponoka,0,n/a
847/852,n/a,Piitoayis Family,Calgary,0,n/a
847/852,n/a,Tevie Miller,Edmonton,0,n/a
