Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"Father Leo Green school, Edmonton, AB, Canada",7,5.2,5.2,53.607695,-113.456453
"Riverdale school, Edmonton, AB, Canada",7,n/a,7,53.543273,-113.468262
"St. Mary school, Edmonton, AB, Canada",6.9,7.9,7.9,53.475976,-113.584615
"Rideau Park school, Edmonton, AB, Canada",6.9,7.2,7.2,53.478096,-113.505466
"Victoria school, Edmonton, AB, Canada",6.9,7.2,7.2,53.55328,-113.495315
"St. Paul school, Edmonton, AB, Canada",6.9,7.1,7.1,53.533065,-113.572001
"Greenview school, Edmonton, AB, Canada",6.9,6.9,6.9,53.473488,-113.428122
"Clara Tyner school, Edmonton, AB, Canada",6.8,7.1,7.1,53.531102,-113.43542
"Bessie Nichols school, Edmonton, AB, Canada",6.8,6.7,6.7,53.487128,-113.671648
"Mary Hanley school, Edmonton, AB, Canada",6.8,6.4,6.4,53.463189,-113.399224
"Edmonton Islamic school, Edmonton, AB, Canada",6.8,6.2,6.2,53.607554,-113.540126
"McLeod school, Edmonton, AB, Canada",6.8,6.2,6.2,53.610918,-113.431513
"St. Vincent school, Edmonton, AB, Canada",6.8,6.2,6.2,53.548438,-113.560616
"J H Picard school, Edmonton, AB, Canada",6.8,6.1,6.1,53.50757,-113.485327
"Inglewood school, Edmonton, AB, Canada",6.8,5.3,5.3,53.565891,-113.539588
"Johnny Bright school, Edmonton, AB, Canada",6.7,7.1,7.1,53.419179,-113.535402
"Kildare school, Edmonton, AB, Canada",6.7,6.9,6.9,53.606409,-113.456965
"Elmwood school, Edmonton, AB, Canada",6.7,6.2,6.2,53.516373,-113.604901
"Bishop David Motiuk school, Edmonton, AB, Canada",6.7,n/a,6.7,53.529277,-113.678234
"David Thomas King school, Edmonton, AB, Canada",6.7,n/a,6.7,53.53619,-113.705459
"Father Michael Mireau school, Edmonton, AB, Canada",6.7,n/a,6.7,53.420272,-113.463535
"MAC Islamic school, Edmonton, AB, Canada",6.7,n/a,6.7,53.563305,-113.542019
"Dovercourt school, Edmonton, AB, Canada",6.6,7.6,7.6,53.573927,-113.561469
"Malmo school, Edmonton, AB, Canada",6.6,6.5,6.5,53.485244,-113.529235
"Parkview school, Edmonton, AB, Canada",6.6,6.3,6.3,53.526712,-113.56827
"Weinlos school, Edmonton, AB, Canada",6.6,5.9,5.9,53.460094,-113.416464
"Belgravia school, Edmonton, AB, Canada",6.5,7.5,7.5,53.509798,-113.532267
"Malcolm Tweddle school, Edmonton, AB, Canada",6.5,6.7,6.7,53.477329,-113.457664
"Frere Antoine school, Edmonton, AB, Canada",6.5,6.6,6.6,53.459542,-113.44879
"Hillview school, Edmonton, AB, Canada",6.5,5.7,5.7,53.467909,-113.428135
"Brookside school, Edmonton, AB, Canada",6.4,8.2,8.2,53.492204,-113.568193
"St. Bernadette school, Edmonton, AB, Canada",6.4,7.3,7.3,53.572671,-113.402545
"Mill Creek school, Edmonton, AB, Canada",6.4,6.2,6.2,53.515691,-113.482533
"St. Dominic school, Edmonton, AB, Canada",6.4,6,6,53.606084,-113.432762
"St. Jerome school, Edmonton, AB, Canada",6.4,4.9,4.9,53.561146,-113.392633
"Blessed Kateri school, Edmonton, AB, Canada",6.3,6.9,6.9,53.476262,-113.400845
"Donnan school, Edmonton, AB, Canada",6.3,6.5,6.5,53.51412,-113.459869
"Edmonton Christian Northeast school, Edmonton, AB, Canada",6.3,6.5,6.5,53.620134,-113.431634
"Our Lady of Mount Carmel school, Edmonton, AB, Canada",6.3,5.9,5.9,53.512779,-113.501554
"Corpus Christi school, Edmonton, AB, Canada",6.3,n/a,6.3,53.420362,-113.429453
"Svend Hansen school, Edmonton, AB, Canada",6.3,n/a,6.3,53.445572,-113.374085
"Grovenor school, Edmonton, AB, Canada",6.2,6.3,6.3,53.545122,-113.56789
"Gold Bar school, Edmonton, AB, Canada",6.2,6,6,53.549499,-113.41337
"Minchau school, Edmonton, AB, Canada",6.2,5.2,5.2,53.46774,-113.408484
"Dr. Lila Fahlman school, Edmonton, AB, Canada",6.2,n/a,6.2,53.399273,-113.535382
"Crawford Plains school, Edmonton, AB, Canada",6.1,6.5,6.5,53.441635,-113.406097
"Jackson Heights school, Edmonton, AB, Canada",6.1,6.2,6.2,53.483518,-113.409164
"Annunciation school, Edmonton, AB, Canada",6.1,6.1,6.1,53.530278,-113.606843
"Northmount school, Edmonton, AB, Canada",6.1,5.6,5.6,53.603016,-113.476166
"Hilwie Hamdon school, Edmonton, AB, Canada",6.1,n/a,6.1,53.607593,-113.558183
"McArthur school, Edmonton, AB, Canada",6,6.1,6.1,53.597702,-113.551447
"St. Bonaventure school, Edmonton, AB, Canada",6,5.8,5.8,53.603301,-113.388714
"Florence Hallock school, Edmonton, AB, Canada",6,5.6,5.6,53.626958,-113.474586
"Tipaskan school, Edmonton, AB, Canada",6,5.3,5.3,53.462964,-113.458282
"Homesteader school, Edmonton, AB, Canada",6,4.8,4.8,53.587579,-113.411279
"Shauna May Seneca school, Edmonton, AB, Canada",6,n/a,6,53.411654,-113.42734
"St. John XXIII school, Edmonton, AB, Canada",6,n/a,6,53.441191,-113.615576
"St. John Bosco school, Edmonton, AB, Canada",5.9,6.6,6.6,53.621776,-113.457471
"St. Lucy school, Edmonton, AB, Canada",5.9,6,6,53.622986,-113.526547
"Our Lady of Victories school, Edmonton, AB, Canada",5.9,n/a,5.9,53.515087,-113.594897
"St. Maria Goretti school, Edmonton, AB, Canada",5.8,6.1,6.1,53.585493,-113.407823
"Gabrielle-Roy school, Edmonton, AB, Canada",5.8,5.7,5.7,53.529908,-113.463239
"Hardisty school, Edmonton, AB, Canada",5.8,5.7,5.7,53.548354,-113.428839
"Our Lady of The Prairies school, Edmonton, AB, Canada",5.8,5.2,5.2,53.499891,-113.625354
"Waverley school, Edmonton, AB, Canada",5.8,5.2,5.2,53.523957,-113.433303
"Bisset school, Edmonton, AB, Canada",5.7,6.6,6.6,53.46073,-113.398975
"Lansdowne school, Edmonton, AB, Canada",5.7,6.5,6.5,53.487649,-113.545504
"Velma E. Baker school, Edmonton, AB, Canada",5.7,6.1,6.1,53.480944,-113.385628
"Bishop Savaryn school, Edmonton, AB, Canada",5.7,5.5,5.5,53.62196,-113.508529
"Holy Family school, Edmonton, AB, Canada",5.7,5.2,5.2,53.446398,-113.402559
"Montrose school, Edmonton, AB, Canada",5.7,2.4,2.4,53.572704,-113.436242
"Laurier Heights school, Edmonton, AB, Canada",5.6,6.7,6.7,53.516472,-113.566214
"Baturyn school, Edmonton, AB, Canada",5.6,5,5,53.63299,-113.506052
"Callingwood school, Edmonton, AB, Canada",5.6,4.4,4.4,53.508867,-113.622877
"Mount Royal school, Edmonton, AB, Canada",5.6,4.1,4.1,53.568877,-113.425805
"Rutherford school, Edmonton, AB, Canada",5.5,6.2,6.2,53.522291,-113.468734
"Duggan school, Edmonton, AB, Canada",5.5,5.9,5.9,53.471682,-113.505273
"St. Edmund school, Edmonton, AB, Canada",5.5,5.8,5.8,53.590375,-113.524701
"Elizabeth Finch school, Edmonton, AB, Canada",5.5,5.7,5.7,53.620922,-113.559749
"St. Martha school, Edmonton, AB, Canada",5.5,5.5,5.5,53.506394,-113.634849
"St. Gerard school, Edmonton, AB, Canada",5.5,n/a,5.5,53.580642,-113.470634
"Keheewin school, Edmonton, AB, Canada",5.4,7,7,53.449161,-113.501307
"Lago Lindo school, Edmonton, AB, Canada",5.4,6.4,6.4,53.635642,-113.488057
"Caernarvon school, Edmonton, AB, Canada",5.4,5.7,5.7,53.610167,-113.526729
"Julia Kiniski school, Edmonton, AB, Canada",5.4,5.7,5.7,53.477484,-113.406277
"St. Elizabeth school, Edmonton, AB, Canada",5.4,4.2,4.2,53.595275,-113.396884
"Horse Hill school, Edmonton, AB, Canada",5.4,n/a,5.4,53.65651,-113.343602
"Major General Griesbach school, Edmonton, AB, Canada",5.3,6.2,6.2,53.607612,-113.496867
"St. Matthew school, Edmonton, AB, Canada",5.3,6,6,53.591838,-113.475237
"Fraser school, Edmonton, AB, Canada",5.3,5.7,5.7,53.611894,-113.373136
"St. Clement school, Edmonton, AB, Canada",5.2,5.9,5.9,53.446102,-113.450074
"St. Charles school, Edmonton, AB, Canada",5.2,5.5,5.5,53.633023,-113.503583
"Sakaw school, Edmonton, AB, Canada",5.2,5.2,5.2,53.440829,-113.427774
"Daly Grove school, Edmonton, AB, Canada",5.2,4.6,4.6,53.449879,-113.400163
"St. Thomas Aquinas school, Edmonton, AB, Canada",5.2,n/a,5.2,53.397856,-113.554444
"St. Benedict school, Edmonton, AB, Canada",5.1,5.4,5.4,53.526465,-113.633745
"Youngstown school, Edmonton, AB, Canada",5.1,5.2,5.2,53.545681,-113.604698
"St. Vladimir school, Edmonton, AB, Canada",5.1,4.6,4.6,53.592766,-113.456245
"St. Philip school, Edmonton, AB, Canada",5,5.8,5.8,53.606488,-113.474749
"Glengarry school, Edmonton, AB, Canada",5,5.3,5.3,53.59638,-113.484076
"Aldergrove school, Edmonton, AB, Canada",5,5.2,5.2,53.518421,-113.636309
"St. Basil school, Edmonton, AB, Canada",5,5.2,5.2,53.566123,-113.49643
"Mother Teresa school, Edmonton, AB, Canada",5,4.2,4.2,53.551937,-113.475506
"Pere-Lacombe school, Edmonton, AB, Canada",5,4.1,4.1,53.590863,-113.504952
"St. Alphonsus school, Edmonton, AB, Canada",5,4.1,4.1,53.567715,-113.466658
"J A Fife school, Edmonton, AB, Canada",4.9,5.3,5.3,53.611489,-113.460721
"Belvedere school, Edmonton, AB, Canada",4.9,5,5,53.595064,-113.436286
"Parkallen school, Edmonton, AB, Canada",4.8,5.9,5.9,53.504144,-113.519256
"St. Gabriel school, Edmonton, AB, Canada",4.8,5.9,5.9,53.550488,-113.423911
"McKee school, Edmonton, AB, Canada",4.8,5.7,5.7,53.487785,-113.508693
"St. Augustine school, Edmonton, AB, Canada",4.8,4.7,4.7,53.473715,-113.505276
"Ormsby school, Edmonton, AB, Canada",4.7,5.2,5.2,53.498335,-113.639379
"Steinhauer school, Edmonton, AB, Canada",4.7,5,5,53.464601,-113.506862
"Christ the King school, Edmonton, AB, Canada",4.7,n/a,4.7,53.632646,-113.42364
"Donald R. Getty school, Edmonton, AB, Canada",4.7,n/a,4.7,53.402432,-113.585297
"St. Brendan school, Edmonton, AB, Canada",4.7,n/a,4.7,53.529481,-113.424949
"Princeton school, Edmonton, AB, Canada",4.6,n/a,4.6,53.58983,-113.459817
"Lymburn school, Edmonton, AB, Canada",4.5,5.3,5.3,53.505509,-113.64756
"Kensington school, Edmonton, AB, Canada",4.5,4.8,4.8,53.59531,-113.527472
"Delwood school, Edmonton, AB, Canada",4.5,4.6,4.6,53.596376,-113.455463
"Scott Robertson school, Edmonton, AB, Canada",4.5,4.6,4.6,53.59672,-113.504316
"Balwin school, Edmonton, AB, Canada",4.5,1.8,1.8,53.591793,-113.44983
"Glendale school, Edmonton, AB, Canada",4.4,4.9,4.9,53.536795,-113.599592
"St. Angela school, Edmonton, AB, Canada",4.4,4.8,4.8,53.595545,-113.549476
